Team,Owner,Trades,Acquisitions,Drops,Activations,IR,PointsFor,PointsAgainst,Wins,Losses,Ties,WinPct,W1F,W2F,W3F,W4F,W5F,W6F,W7F,W8F,W9F,W10F,W11F,W12F,W13F,W14F,W1A,W2A,W3A,W4A,W5A,W6A,W7A,W8A,W9A,W10A,W11A,W12A,W13A,W14A
#Autodrafting in 2016,Emmett,0,40,38,53,2,1585.5,1357,7,6,0,0.538,141.5,101,146,123,143.5,131.5,110.5,99.5,104,100.5,111.5,107,166,NA,155,89,84,100.5,55.5,97,132,136.5,114.5,105,85.5,115.5,87,NA
A Nasty Moses,Max,1,37,36,57,7,1508.5,1646.5,5,8,0,0.385,122.5,131,181,77,138,105,116,133.5,105.5,96,97,119,87,NA,124.5,106,135.5,95,109.5,123,162,104,166,142,84,129,166,NA
Beauty and the Beast Mode,Eduardo,1,25,25,55,3,1680.5,1523,8,5,0,0.615,129.5,106,169,100.5,85,117,125.5,114,183,142,99.5,127,182.5,NA,81.5,131,88.5,123,122,126.5,84.5,132.5,180.5,96,95.5,125.5,136,NA
Beejes N Cream,Ranjan,3,42,42,89,4,1486.5,1565.5,6,7,0,0.462,81.5,109.5,113,95,95,97,127.5,133.5,180.5,123,84.5,129,117.5,NA,129.5,130,176,77,94,131.5,141.5,69.5,183,102,75.5,119,137,NA
Donte's Winferno,Zach,2,30,28,71,6,1218,1474.5,5,8,0,0.385,103.5,132,113,123,55.5,123,84.5,69.5,114.5,39,79,120,61.5,NA,103.5,130,115,82.5,143.5,105,125.5,133.5,104,106,89,103,134,NA
"Hyde Yo Kids, Hide Yo Wife",Andy,1,26,26,55,1,1484.5,1532,5,7,1,0.423,102.5,99,84,82.5,125,118.5,162,132.5,108.5,145,75.5,115.5,134,NA,128.5,114.5,146,123,125,151,116,114,118,143,84.5,107,61.5,NA
Jizz n' Potatoes,Mike,1,19,17,46,6,1644.5,1454.5,8,4,1,0.654,155,130,176,136.5,125,141.5,97,104,118,105,89,125.5,142,NA,141.5,132,113,101,125,147.5,76.5,133.5,108.5,100.5,79,127,69.5,NA
Mariota Kart 64,Lauren,1,22,21,55,3,1428,1569.5,5,8,0,0.385,128.5,89,115,101,109.5,126.5,141.5,117.5,98.5,143,85.5,103,69.5,NA,102.5,101,113,136.5,138,117,127.5,114.5,101,145,111.5,120,142,NA
Mdphd Killa!!!,Jeremy,0,14,14,41,0,1573,1504.5,8,5,0,0.615,109,130,135.5,158,122,151,76.5,136.5,101,102,84,131.5,136,NA,103.5,109.5,181,94,85,118.5,97,99.5,98.5,123,97,115.5,182.5,NA
PASSWORD IS TACO,Ted,2,32,31,70,2,1529.5,1506,7,6,0,0.538,124.5,114.5,88.5,94,94,147.5,132,114.5,166,106,95.5,115.5,137,NA,122.5,99,169,158,95,141.5,110.5,117.5,105.5,39,99.5,131.5,117.5,NA
