Team,Owner,Trades,Acquisitions,Drops,Activations,IR,PointsFor,PointsAgainst,Wins,Losses,Ties,WinPct,W1F,W2F,W3F,W4F,W5F,W6F,W7F,W8F,W9F,W10F,W11F,W12F,W13F,W14F,W1A,W2A,W3A,W4A,W5A,W6A,W7A,W8A,W9A,W10A,W11A,W12A,W13A,W14A
#Autodrafting in 2016,Emmett,0,40,38,53,2,1419.5,1270,6,6,0,0.5,141.5,101,146,123,143.5,131.5,110.5,99.5,104,100.5,111.5,107,166,122,155,89,84,100.5,55.5,97,132,136.5,114.5,105,85.5,115.5,NA,NA
A Nasty Moses,Max,1,37,36,56,7,1421.5,1480.5,5,7,0,0.42,122.5,131,181,77,138,105,116,133.5,105.5,96,97,119,87,70,124.5,106,135.5,95,109.5,123,162,104,166,142,84,129,NA,NA
Beauty and the Beast Mode,Eduardo,1,25,25,54,3,1498,1387,7,5,0,0.58,129.5,106,169,100.5,85,117,125.5,114,183,142,99.5,127,182.5,137,81.5,131,88.5,123,122,126.5,84.5,132.5,180.5,96,95.5,125.5,NA,NA
Beejes N Cream,Ranjan,3,41,41,83,4,1369,1428.5,6,6,0,0.5,81.5,109.5,113,95,95,97,127.5,133.5,180.5,123,84.5,129,117.5,112.5,129.5,130,176,77,94,131.5,141.5,69.5,183,102,75.5,119,NA,NA
Donte's Winferno,Zach,2,30,28,70,6,1156.5,1340.5,5,7,0,0.42,103.5,132,113,123,55.5,123,84.5,69.5,114.5,39,79,120,61.5,113.5,103.5,130,115,82.5,143.5,105,125.5,133.5,104,106,89,103,NA,NA
"Hyde Yo Kids, Hide Yo Wife",Andy,1,26,26,54,1,1350.5,1470.5,4,7,1,0.38,102.5,99,84,82.5,125,118.5,162,132.5,108.5,145,75.5,115.5,134,78,128.5,114.5,146,123,125,151,116,114,118,143,84.5,107,NA,NA
Jizz n' Potatoes,Mike,1,19,17,46,6,1502.5,1385,7,4,1,0.63,155,130,176,136.5,125,141.5,97,104,118,105,89,125.5,142,90.5,141.5,132,113,101,125,147.5,76.5,133.5,108.5,100.5,79,127,NA,NA
Mariota Kart 64,Lauren,1,22,21,55,3,1358.5,1427.5,5,7,0,0.42,128.5,89,115,101,109.5,126.5,141.5,117.5,98.5,143,85.5,103,69.5,92,102.5,101,113,136.5,138,117,127.5,114.5,101,145,111.5,120,NA,NA
Mdphd Killa!!!,Jeremy,0,14,14,38,0,1437,1322,8,4,0,0.67,109,130,135.5,158,122,151,76.5,136.5,101,102,84,131.5,136,92.5,103.5,109.5,181,94,85,118.5,97,99.5,98.5,123,97,115.5,NA,NA
PASSWORD IS TACO,Ted,2,31,30,69,2,1392.5,1388.5,6,6,0,0.5,124.5,114.5,88.5,94,94,147.5,132,114.5,166,106,95.5,115.5,137,143,122.5,99,169,158,95,141.5,110.5,117.5,105.5,39,99.5,131.5,NA,NA
