Bindy	105.49	89.26	132.63	94.86	102.81	70.23	116	86.49	123.44	100.84	127.07	152.51	168.11	113.14
charles	140.02	108.27	108.49	125.25	122.08	123.14	129.37	116.73	92.57	98.53	100.68	87.49	133.38	85.97
finkle	75.01	131.19	131.3	84.68	109.79	104.87	83.71	102.31	93.62	115.16	76.04	89.89	100.72	99.83
Hot	77.04	105	98.6	102.37	113.94	98.17	106.54	89.27	64.29	77.31	64.69	121.91	103.45	107.5
LeDong	105.76	87.3	169.33	101.58	72.91	98.59	128.67	90.62	134.19	113.79	83.21	116.84	95.27	88.28
Magical	119.11	114.58	120.17	79.06	147.08	120.85	90.38	117.02	117.52	79.29	66.91	119.98	154.3	96.47
Men	125.2	98.64	154.65	82.67	101.65	83.65	125.55	104.81	116.23	81.66	107.33	104.68	112.74	98.12
Moodmen	60.26	67.4	77.99	80.43	98.4	93.83	91.87	107.31	104.57	105.05	80.52	56.4	95.37	120.36
Porn	129.51	69.5	94.49	78.57	54.16	99.92	85.19	99.1	122.34	102.3	93.95	121.16	70.86	90.29
Rope	138.34	93.56	87.97	98.51	92.7	138.95	152.27	159.39	116.42	84.26	95.12	100.31	129.31	119.3
Search	117.53	86.96	82.75	118.57	60.65	101.34	61.53	73.2	110.05	97.8	76.73	76.72	119.52	100.07
Silent	84.57	104.93	158.22	109.95	99.57	85.55	99.46	108.44	81.52	85.06	46.74	60.81	76.29	91.16
Walking..	71.4	46.81	78.84	69.39	58.93	88.52	94.67	60.16	72.18	60.22	98.02	104.64	95.97	67.55
Willghazi	99.15	113.7	96.44	102.82	90.3	95.24	132.39	80.8	128.69	95.25	78.33	83.08	61.1	81.51
