title	author	date published	link to source	read
papyrus of ani	ancient egypt	-1250	http://www.amazon.com/The-Egyptian-Book-Dead-Integrated/dp/0811864898/ref=sr_1_1?s=books&ie=UTF8&qid=1339720479&sr=1-1&keywords=Papyrus+of+Ani	0
odyssey	homer	-800	http://www.amazon.com/The-Odyssey-Fitzgerald-Translation/dp/0374525749	0
iliad	homer	-800	http://records.viu.ca/~johnstoi/homer/iliad_title.htm	0
oedipus the king	sophocles	-440	http://www.gutenberg.org/files/31/31-h/31-h.htm	0
antigone	sophocles	-440	http://www.gutenberg.org/files/31/31-h/31-h.htm	0
prometheus bound	aeschylus	-415	http://www.gutenberg.org/files/27458/27458-h/27458-h.htm	0
frogs 	aristophones	-405	http://www.gutenberg.org/cache/epub/7998/pg7998.html	0
apology	plato	-400	http://www.bartleby.com/2/1/1.html	0
crito 	plato 	-400	http://www.bartleby.com/2/1/2.html	0
phaedo	plato	-400	http://www.bartleby.com/2/1/	0
aeneid	virgil	-19	http://www.amazon.com/The-Aeneid-Penguin-Classics-Virgil/dp/0140440518	0
metamorphoses	ovid (hughes) 	8	http://www.amazon.com/Tales-Ovid-24-Passages-Metamorphoses/dp/0374525870	0
beowulf	anglo-saxon poet	800	http://www.sparknotes.com/nofear/lit/beowulf/	0
arabian nights	middle east	1000	http://www.amazon.com/The-Arabian-Nights-Thousand-Classics/dp/0375756752	0
lyric poems	petrarch	1350	http://www.amazon.com/Petrarchs-Lyric-Poems-Sparse-Lyrics/dp/0674663489	0
inferno	dante	1400	http://www.gutenberg.org/files/1001/1001-h/1001-h.htm	1
don quixote	cervantes	1615	http://www.amazon.com/Don-Quixote-Miguel-De-Cervantes/dp/0060934344/	0.5
paradise lost	milton	1667	http://www.paradiselost.org/	0
gulliver's travels	swift	1735	http://www.amazon.com/Gullivers-Travels-Penguin-Classics-Jonathan/dp/0141439491	1
candide	voltaire			1
pride & prejudice	austen	1813	http://www.gutenberg.org/ebooks/1342	1
persuasion	austen	1817	http://www.gutenberg.org/ebooks/105	0
don juan	byron	1824	http://www.gutenberg.org/files/21700/21700-h/21700-h.htm	0.25
faust I&II	goethe	1831	http://www.gutenberg.org/ebooks/14591	0
tell tale heart	poe	1843	http://ebooks.gutenberg.us/Alex_Collection/poe-tell-707.htm	0
crime & punishment	dostoevsky	1866	http://www.amazon.com/Punishment-Bantam-Classics-Fyodor-Dostoevsky/dp/0553211757	1
alice in wonderland	carroll	1866	http://www.gutenberg.org/ebooks/11	0
war & peace	tolstoy	1869	http://www.amazon.com/War-Peace-Vintage-Classics-Tolstoy/dp/1400079985	1
anna karenina	tolstoy	1877	http://www.amazon.com/Anna-Karenina-Penguin-Classics-Tolstoy/dp/0140449175	1
brothers karamazov	dostoevsky	1880	http://www.amazon.com/The-Brothers-Karamazov-Fyodor-Dostoevsky/dp/0374528373	1
flatland	abbott	1880	http://www.gutenberg.org/ebooks/97	1
stories	chekov	1890	http://www.amazon.com/Stories-Anton-Chekhov/dp/0553381008	1
sherlock holmes	doyle	1892	http://www.gutenberg.org/ebooks/1661	0
importance earnest	wilde	1895	http://www.gutenberg.org/ebooks/844	0
devil's dictionary 	bierce	1911	http://www.amazon.com/The-Devils-Dictionary-Ambrose-Bierce/dp/0195126270	0
swann's way	proust	1913	http://www.amazon.com/Swanns-Way-Penguin-Classics-Edition/dp/0142437964	0
metamorphosis	kafka	1915	https://records.viu.ca/~johnstoi/stories/kafka-e.htm	1
love song j alfred	eliot	1920	http://www.bartleby.com/198/1.html	1
gatsby 	fitzgerald	1921	http://www.amazon.com/The-Great-Gatsby-Scott-Fitzgerald/dp/0743273567	1
waste land	eliot	1922	http://www.bartleby.com/201/1.html	0
ulysses	joyce	1922	http://www.gutenberg.org/ebooks/4300	1
the dead	joyce		http://www.online-literature.com/james_joyce/958/; best story from the dubliners	0
prophet	gibran	1923	http://www-personal.umich.edu/~jrcole/gibran/prophet/prophet.htm	0
the trial	kafka	1924	http://www.amazon.com/The-Trial-Translation-Based-Restored/dp/0805209999	0
cthulhu	lovecraft	1926	http://archive.org/stream/CallOfCthulhu/The_Call_of_Cthulhu_-_Lovecraft#page/n0/mode/2up	0
sun also rises	hemingway	1926	http://www.amazon.com/The-Also-Rises-Ernest-Hemingway/dp/0743297334	0
brave new world	huxley	1931	http://www.amazon.com/Brave-New-World-Aldous-Huxley/dp/0060929871	1
mice & men	steinbeck	1937	http://www.amazon.com/Mice-Men-Steinbeck-Centennial-Edition/dp/0142000671	1
right ho, jeeves	wodehouse	1934	http://www.amazon.com/The-Code-Woosters-P-G-Wodehouse/dp/0394720288	1
big sleep	chandler	1938	http://www.amazon.com/The-Big-Sleep-Raymond-Chandler/dp/0394758285	0
then there were none	christie	1939	http://www.amazon.com/And-Then-There-Were-None/dp/0312979479	0
