#data from http://www.sciencedirect.com/science/article/pii/S1550413114000655
Energy Protein Carb Fat PC_Ratio Median_life nMax_life
MEDIUM 5 75 20 0.07 121.86 157.43
HIGH 5 20 75 0.25 106.43 154.21
HIGH 5 75 20 0.07 119.43 151.79
MEDIUM 14 57 29 0.25 123.00 151.57
HIGH 42 29 29 1.45 138.86 151.14
MEDIUM 42 29 29 1.45 122.57 148.00
MEDIUM 14 29 57 0.48 113.86 147.36
HIGH 5 48 48 0.10 124.43 146.21
MEDIUM 33 48 20 0.69 122.57 145.71
MEDIUM 23 38 38 0.61 123.86 143.07
HIGH 33 48 20 0.69 98.29 141.00
HIGH 14 57 29 0.25 117.43 140.07
HIGH 33 20 48 1.65 107.14 136.86
LOW 33 48 20 0.69 126.57 134.14
MEDIUM 33 20 48 1.65 106.57 133.79
HIGH 14 29 57 0.48 108.00 133.71
MEDIUM 60 20 20 3.00 108.00 129.50
HIGH 60 20 20 3.00 99.57 127.57
HIGH 23 38 38 0.61 100.00 124.57
LOW 14 57 29 0.25 98.57 119.43
LOW 33 20 48 1.65 78.57 116.36
LOW 14 29 57 0.48 88.71 115.07
LOW 42 29 29 1.45 85.85 104.00
LOW 60 20 20 3.00 84.29 102.86
LOW 23 38 38 0.61 89.29 100.36 
