#data downloaded from http://stats.nba.com/leaders/alltime/#!?SeasonType=Regular%20Season&StatCategory=MIN 5/17/15
#TS = true shooting percentage, adjusts for 3PA and FT
Player	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	eFG%	TS%
Wilt Chamberlain	1,045	45.8	30.1	12.1	22.5	54.0	-	-	-	5.8	11.4	51.1	-	-	22.9	4.4	-	-	-	54.0	54.7
Bill Russell	963	42.3	15.1	5.9	13.4	44.0	-	-	-	3.3	5.8	56.1	-	-	22.5	4.3	-	-	-	44.0	47.1
Oscar Robertson	1,040	42.2	25.7	9.1	18.9	48.5	-	-	-	7.4	8.8	83.8	1.0	3.0	7.5	9.5	1.1	0.1	-	48.5	56.4
Allen Iverson	914	41.1	26.7	9.3	21.8	42.5	1.2	3.7	31.3	7.0	8.9	78.0	0.8	2.9	3.7	6.2	2.2	0.2	3.6	45.2	51.8
Elgin Baylor	846	40.0	27.4	10.3	23.8	43.1	-	-	-	6.8	8.7	78.0	-	-	13.5	4.3	-	-	-	43.1	49.4
LeBron James	911	39.3	27.3	9.8	19.8	49.6	1.4	4.0	34.2	6.3	8.5	74.5	1.2	6.0	7.1	6.9	1.7	0.8	3.4	53.1	58.1
Jerry West	932	39.2	27.0	9.7	20.4	47.4	-	-	-	7.7	9.4	81.4	1.0	2.8	5.8	6.7	2.6	0.7	-	47.4	55.0
Jerry Lucas	829	38.8	17.0	6.9	13.8	49.9	-	-	-	3.2	4.1	78.3	0.8	4.3	15.6	3.3	0.4	0.3	-	49.9	54.4
Bob Pettit	792	38.8	26.4	9.3	21.3	43.6	-	-	-	7.8	10.3	76.1	-	-	16.2	3.0	-	-	-	43.6	51.1
Latrell Sprewell	913	38.6	18.3	6.7	15.7	42.5	1.2	3.6	33.7	3.8	4.7	80.4	0.8	3.2	4.1	4.0	1.4	0.4	2.7	46.4	51.6
Dave Cowens	766	38.6	17.6	7.5	16.3	46.0	0.0	0.0	7.1	2.6	3.4	78.3	3.0	9.8	13.6	3.8	1.1	0.9	2.2	46.0	49.6
Paul Arizin	713	38.4	22.8	7.9	18.7	42.1	-	-	-	7.0	8.7	81.0	-	-	8.6	2.3	-	-	-	42.1	50.6
Larry Bird	897	38.4	24.3	9.6	19.3	49.6	0.7	1.9	37.6	4.4	5.0	88.6	2.0	8.0	10.0	6.3	1.7	0.8	3.1	51.4	56.5
Elvin Hayes	1,303	38.4	21.0	8.4	18.6	45.2	0.0	0.0	14.7	4.1	6.1	67.0	3.1	7.8	12.5	1.8	1.0	2.0	2.4	45.2	49.1
Michael Jordan	1,072	38.3	30.1	11.4	22.9	49.7	0.5	1.7	32.7	6.8	8.2	83.5	1.6	4.7	6.2	5.3	2.3	0.8	2.7	50.9	56.9
Kevin Durant	569	38.0	27.3	9.2	19.1	48.1	1.7	4.4	37.9	7.3	8.3	88.1	0.8	6.1	6.9	3.5	1.2	1.0	3.2	52.5	60.1
Mel Hutchins	437	37.9	11.1	4.4	11.4	38.9	-	-	-	2.3	3.4	67.3	-	-	9.6	3.0	-	-	-	38.9	43.2
Stephon Marbury	846	37.7	19.3	6.8	15.7	43.3	1.2	3.6	32.5	4.5	5.7	78.4	0.7	2.3	3.0	7.6	1.2	0.1	3.0	47.0	52.8
Geoff Petrie	446	37.6	21.8	8.9	19.5	45.5	-	-	-	4.0	5.0	80.5	0.6	2.0	2.8	4.6	1.1	0.1	-	45.5	50.2
Steve Francis	576	37.6	18.1	6.2	14.4	42.9	1.0	2.9	34.1	4.8	6.1	79.7	1.7	3.9	5.6	6.0	1.5	0.4	3.5	46.3	53.3
Walt Frazier	825	37.5	18.9	7.4	15.2	49.0	0.0	0.0	0.0	4.0	5.1	78.6	1.1	4.2	5.9	6.1	1.9	0.2	2.1	49.0	54.2
Walt Bellamy	1,043	37.3	20.1	7.6	14.7	51.6	-	-	-	4.9	7.8	63.2	3.4	6.2	13.7	2.4	0.7	0.6	-	51.6	55.4
Jamal Mashburn	611	37.3	19.1	7.0	16.7	41.8	1.3	3.6	34.5	3.8	5.0	76.6	1.1	4.2	5.4	4.0	1.0	0.2	2.6	45.6	50.4
Nate Thurmond	964	37.2	15.0	5.7	13.6	42.1	-	-	-	3.5	5.3	66.7	2.8	6.8	15.0	2.7	0.5	2.1	-	42.1	47.0
Karl Malone	1,476	37.2	25.0	9.2	17.8	51.6	0.1	0.2	27.4	6.6	8.9	74.2	2.4	7.7	10.1	3.6	1.4	0.8	3.1	51.8	57.7
Chris Webber	831	37.1	20.7	8.7	18.1	47.9	0.3	1.1	29.9	3.0	4.7	64.9	2.7	7.0	9.8	4.2	1.4	1.4	2.8	48.7	51.3
Cuttino Mobley	747	37.0	16.0	5.8	13.4	43.3	1.5	3.8	37.8	3.0	3.6	83.5	0.7	3.2	3.9	2.7	1.2	0.4	2.0	48.7	53.6
Pete Maravich	658	37.0	24.2	9.4	21.3	44.1	0.0	0.0	66.7	5.4	6.6	82.0	1.0	3.3	4.2	5.4	1.4	0.3	3.7	44.1	50.0
Glenn Robinson	688	36.8	20.7	8.1	17.6	45.9	0.9	2.6	34.0	3.6	4.4	82.0	1.5	4.6	6.1	2.7	1.2	0.6	3.1	48.5	52.9
Kareem Abdul-Jabbar	1,560	36.8	24.6	10.2	18.1	55.9	0.0	0.0	5.6	4.3	6.0	72.1	2.4	7.6	11.2	3.6	0.9	2.6	2.7	55.9	59.2
Magic Johnson	906	36.7	19.5	6.9	13.2	52.0	0.4	1.2	30.3	5.5	6.5	84.8	1.8	5.5	7.2	11.2	1.9	0.4	3.9	53.3	61.0
Charles Barkley	1,073	36.7	22.1	7.9	14.5	54.1	0.5	1.9	26.6	5.9	8.1	73.5	4.0	7.7	11.7	3.9	1.5	0.8	3.1	55.8	61.2
