PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
1	Howard, Josh	WAS	408.6333	819	824	808	895	98.6569	108.617	-9.95961	154	138	276	322	0.323529	0.666667	3577.3667	6986	6965	7169	7689	102.619	110.395	-7.7753	1299	1324	2303	2488	0.343	0.635	-9.95961	0.323529	0.666667	-2.1843	-0.0195	0.0317	NULL	NULL
2	Thomas, Kurt	CHI	1178.2333	2207	2209	2369	2211	107.34	100.091	7.24974	374	342	848	779	0.324371	0.712605	2787.7667	5264	5273	5718	5276	108.625	100.057	8.5677	1079	909	1982	1759	0.3802	0.6856	7.24974	0.324371	0.712605	-1.318	-0.0558	0.027	-2.13848	3.49916
3	Dampier, Erick	MIA	814.8333	1553	1551	1686	1575	108.564	101.547	7.01668	248	275	607	520	0.322917	0.688209	3141.1667	5942	5952	6683	6182	112.47	103.864	8.6063	960	1043	2262	2014	0.3228	0.6844	7.01668	0.322917	0.688209	-1.5896	0.0001	0.0038	-4.94051	3.62749
4	Marion, Shawn	DAL	2253.0167	4269	4288	4571	4570	107.074	106.576	0.497764	694	731	1574	1481	0.31908	0.682863	1687.9833	3252	3227	3649	3303	112.208	102.355	9.8527	432	530	1210	1126	0.2773	0.6954	0.497764	0.31908	0.682863	-9.3549	0.0418	-0.0125	-4.38023	2.91729
5	Nowitzki, Dirk	DAL	2504.0000	4808	4778	5433	4902	112.999	102.595	10.4039	683	800	1821	1600	0.299168	0.694773	1437.0000	2713	2737	2787	2971	102.728	108.549	-5.8219	443	461	963	1007	0.3055	0.6763	10.4039	0.299168	0.694773	16.2258	-0.0063	0.0185	13.6838	2.86827
6	Terry, Jason	DAL	2564.4500	4900	4854	5469	5139	111.612	105.871	5.7408	787	855	1776	1664	0.321093	0.675029	1376.5500	2621	2661	2751	2734	104.96	102.743	2.2166	339	406	1008	943	0.2644	0.7129	5.7408	0.321093	0.675029	3.5242	0.0567	-0.0379	2.01254	2.90003
7	Bell, Raja	UTA	2097.1833	4030	4027	4296	4511	106.6	112.019	-5.41838	671	756	1340	1402	0.323685	0.639313	1878.8167	3551	3555	3857	3792	108.617	106.667	1.9506	658	619	1207	1180	0.358	0.661	-5.41838	0.323685	0.639313	-7.369	-0.0343	-0.0217	-10.3661	3.10444
8	Nash, Steve	PHX	2497.1167	4972	4924	5665	5378	113.938	109.22	4.71791	732	892	1716	1730	0.297319	0.657975	1503.8833	2899	2957	2946	3306	101.621	111.802	-10.1813	487	532	970	1079	0.311	0.6458	4.71791	0.297319	0.657975	14.8992	-0.0137	0.0122	13.5964	3.775
10	Jones, James	MIA	1548.9667	2934	2935	3259	3019	111.077	102.862	8.21502	454	530	1082	1042	0.303476	0.671216	2407.0333	4561	4568	5110	4738	112.037	103.721	8.3153	754	788	1787	1492	0.3357	0.694	8.21502	0.303476	0.671216	-0.1003	-0.0322	-0.0228	-0.240768	2.96174
12	Diaw, Boris	CHA	2778.2667	5209	5200	5413	5651	103.916	108.673	-4.75678	888	852	1843	1862	0.322909	0.683859	1182.7333	2183	2193	2237	2327	102.474	106.11	-3.6367	395	372	804	761	0.3417	0.6837	-4.75678	0.322909	0.683859	-1.1201	-0.0188	0.0002	-0.861012	3.07337
14	Daniels, Marquis	BOS	938.2167	1745	1761	1785	1782	102.292	101.193	1.09976	247	312	604	607	0.289227	0.659389	3017.7833	5693	5673	6128	5691	107.641	100.317	7.3237	777	971	2133	1930	0.287	0.6872	1.09976	0.289227	0.659389	-6.2239	0.0022	-0.0278	0.883524	3.56178
15	Harris, Devin	NJN, UTA	2253.5333	4259	4235	4529	4737	106.34	111.854	-5.51408	716	750	1488	1489	0.324717	0.664879	2552.2167	4808	4819	4976	5252	103.09	109.027	-5.93658	874	877	1662	1750	0.332287	0.654411	-5.51408	0.324717	0.664879	0.394484	-0.00733132	0.0109229	3.5988	2.74144
16	Barbosa, Leandro	TOR	1394.5833	2718	2720	2922	3068	107.506	112.794	-5.2886	488	509	913	925	0.345364	0.642053	2561.4167	4954	4955	5202	5571	105.006	112.432	-7.4258	872	824	1639	1739	0.334	0.6654	-5.2886	0.345364	0.642053	2.1372	0.0114	-0.0233	1.2273	2.83764
17	Diop, DeSagana	CHA	181.1333	345	353	326	367	94.4928	103.966	-9.47325	58	57	133	123	0.320442	0.7	3779.8667	7047	7040	7324	7611	103.931	108.111	-4.18	1225	1167	2514	2500	0.3289	0.683	-9.47325	0.320442	0.7	-5.2933	-0.0085	0.017	NULL	NULL
20	House, Eddie	MIA	978.2000	1839	1842	2006	1901	109.081	103.203	5.87798	313	362	689	663	0.320697	0.655566	2977.8000	5656	5661	6363	5856	112.5	103.445	9.0554	895	956	2180	1871	0.3236	0.6952	5.87798	0.320697	0.655566	-3.1774	-0.0029	-0.0396	-3.1773	3.2145
21	Martin, Kenyon	DEN	1233.3833	2442	2427	2752	2549	112.695	105.027	7.66773	386	355	943	832	0.316913	0.726502	2707.6167	5401	5412	6059	5872	112.183	108.5	3.6833	885	927	1919	1860	0.3224	0.6743	7.66773	0.316913	0.726502	3.9844	-0.0055	0.0522	1.25823	2.95793
23	Camby, Marcus	POR	1540.5333	2757	2782	3012	2979	109.249	107.081	2.16795	572	471	947	958	0.373856	0.667842	2420.4667	4540	4508	4884	4792	107.577	106.3	1.2772	792	810	1462	1598	0.3314	0.6435	2.16795	0.373856	0.667842	0.8907	0.0425	0.0243	0.66221	2.86248
24	Ginobili, Manu	SAS	2425.3500	4768	4773	5453	4914	114.367	102.954	11.4125	734	770	1755	1643	0.308793	0.69505	1530.6500	2867	2876	3049	3120	106.348	108.484	-2.1359	484	484	1041	1045	0.3165	0.6826	11.4125	0.308793	0.69505	13.5484	-0.0077	0.0124	8.94896	2.82281
25	Anthony, Carmelo	DEN, NYK	2751.4000	5458	5446	6178	5994	113.192	110.062	3.12921	837	977	1933	1911	0.304585	0.664261	2455.0833	4903	4910	5439	5274	111.122	107.24	3.88206	796	803	1721	1725	0.319536	0.686234	3.12921	0.304585	0.664261	-0.753007	-0.0150974	-0.0224799	2.97033	2.74459
26	Duncan, Tim	SAS	2156.4500	4214	4167	4703	4244	111.604	101.848	9.75632	644	662	1611	1472	0.304348	0.708755	1799.5500	3421	3482	3799	3790	111.049	108.845	2.2039	574	592	1185	1216	0.3207	0.6669	9.75632	0.304348	0.708755	7.5524	-0.0164	0.0419	6.68031	3.73752
30	Parker, Tony	SAS	2527.9167	4919	4915	5421	5111	110.205	103.988	6.21753	754	766	1849	1753	0.300758	0.707075	1428.0833	2716	2734	3081	2923	113.439	106.913	6.5259	464	488	947	935	0.3317	0.6599	6.21753	0.300758	0.707075	-0.3084	-0.0309	0.0472	-1.99117	3.31717
31	Miller, Andre	POR	2650.1167	4816	4804	5365	5111	111.399	106.391	5.00899	903	832	1632	1643	0.354674	0.662338	1310.8833	2481	2486	2531	2660	102.015	106.999	-4.9839	461	449	777	913	0.3355	0.6338	5.00899	0.354674	0.662338	9.9929	0.0192	0.0285	3.16308	3.66441
34	Hilario, Nene	DEN	2291.0167	4504	4506	5093	4772	113.077	105.903	7.17402	667	710	1727	1560	0.299506	0.708658	1649.9833	3339	3333	3718	3649	111.351	109.481	1.8698	604	572	1135	1132	0.3479	0.6649	7.17402	0.299506	0.708658	5.3042	-0.0484	0.0438	9.13757	3.00348
35	Boykins, Earl	MIL	861.6667	1616	1614	1656	1614	102.475	100	2.47525	272	287	572	593	0.314451	0.665891	3104.3333	5811	5822	5878	5989	101.153	102.868	-1.7154	1022	941	2079	2235	0.3138	0.6884	2.47525	0.314451	0.665891	4.1906	0.0007	-0.0225	-0.742076	3.59579
36	Najera, Eduardo	CHA	372.2667	688	691	711	699	103.343	101.158	2.18528	126	134	263	255	0.330709	0.662468	3588.7333	6704	6702	6939	7279	103.505	108.609	-5.104	1157	1090	2384	2368	0.3282	0.6862	2.18528	0.330709	0.662468	7.2893	0.0025	-0.0237	NULL	NULL
37	Oberto, Fabricio	POR	44.6833	93	94	83	103	89.2473	109.574	-20.3272	15	18	31	35	0.3	0.632653	3916.3167	7204	7196	7813	7668	108.454	106.559	1.8944	1349	1263	2378	2521	0.3486	0.6531	-20.3272	0.3	0.632653	-22.2216	-0.0486	-0.0204	NULL	NULL
40	Mohammed, Nazr	CHA, OKC	1279.7000	2410	2405	2605	2592	108.091	107.775	0.315819	416	395	878	819	0.336842	0.689709	3264.8833	6180	6188	6539	6641	105.509	107.368	-1.85873	1046	1059	2200	2165	0.325736	0.67526	0.315819	0.336842	0.689709	2.17973	0.0109448	0.0143712	-3.40945	2.99582
42	Elson, Francisco	UTA	609.8167	1140	1147	1155	1214	101.316	105.841	-4.52554	201	206	359	399	0.335	0.635398	3366.1833	6441	6435	6998	7089	108.648	110.163	-1.5154	1128	1169	2188	2183	0.3407	0.6518	-4.52554	0.335	0.635398	-3.0101	-0.0057	-0.0164	-6.36645	4.44389
45	Redd, Michael	MIL	134.3167	255	258	281	271	110.196	105.039	5.15732	37	45	88	92	0.286822	0.661654	3831.6833	7172	7178	7253	7332	101.129	102.145	-1.0161	1257	1183	2563	2736	0.3148	0.6842	5.15732	0.286822	0.661654	6.1734	-0.028	-0.0225	NULL	NULL
47	Ford, T.J.	IND	773.1167	1502	1498	1495	1503	99.534	100.334	-0.799824	268	265	557	584	0.314554	0.677616	3182.8833	6316	6316	6688	6768	105.89	107.156	-1.2666	1067	1139	2285	2231	0.3235	0.6673	-0.799824	0.314554	0.677616	0.4668	-0.0089	0.0103	-1.84962	4.78475
48	Simmons, Bobby	SAS	15.5167	29	29	32	26	110.345	89.6552	20.6897	7	6	11	10	0.411765	0.647059	3940.4833	7606	7620	8470	8008	111.359	105.092	6.2676	1211	1248	2785	2678	0.3114	0.6906	20.6897	0.411765	0.647059	14.4221	0.1004	-0.0435	NULL	NULL
49	Bogut, Andrew	MIL	2297.6000	4263	4264	4312	4305	101.149	100.962	0.187887	752	686	1601	1607	0.318779	0.700044	1668.4000	3164	3172	3222	3298	101.833	103.972	-2.1391	542	542	1050	1221	0.3074	0.6595	0.187887	0.318779	0.700044	2.327	0.0114	0.0405	4.75369	2.95207
51	Magloire, Jamaal	MIA	157.5833	291	292	300	287	103.093	98.2877	4.80511	51	48	118	102	0.333333	0.710843	3798.4167	7204	7211	8069	7470	112.007	103.592	8.4155	1157	1270	2751	2432	0.3224	0.6842	4.80511	0.333333	0.710843	-3.6104	0.0109	0.0266	NULL	NULL
52	Iguodala, Andre	PHI	2468.8000	4733	4731	5038	4875	106.444	103.044	3.40036	758	745	1739	1744	0.302958	0.700081	1517.2000	2909	2915	3081	3121	105.913	107.067	-1.1542	452	500	1040	1052	0.3005	0.6753	3.40036	0.302958	0.700081	4.5546	0.0025	0.0248	-1.35044	3.09009
