PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
1	Howard, Josh	DAL	1594.8833	3072	3069	3452	3253	112.3698	105.9954	6.3744	419	432	1135	1056	0.2841	0.7243	2270.1167	4323	4338	4692	4730	108.5357	109.0364	-0.5007	614	605	1551	1545	0.2844	0.7194	6.8751	-0.0003	0.0049
2	Thomas, Kurt	SAS	1361.4333	2472	2478	2642	2544	106.8770	102.6634	4.2136	336	311	970	956	0.2601	0.7572	2518.5667	4671	4641	5122	4898	109.6553	105.5376	4.1177	527	606	1756	1706	0.2360	0.7434	0.0959	0.0241	0.0138
3	Dampier, Erick	DAL	1797.2000	3406	3413	3737	3683	109.7181	107.9109	1.8072	455	470	1259	1221	0.2715	0.7282	2067.8000	3989	3994	4407	4300	110.4788	107.6615	2.8173	578	567	1427	1380	0.2952	0.7156	-1.0101	-0.0237	0.0126
4	Marion, Shawn	MIA	1516.5167	2871	2892	3068	3051	106.8617	105.4979	1.3638	418	411	1000	1051	0.2845	0.7087	2474.4833	4618	4592	4993	4989	108.1204	108.6455	-0.5251	604	695	1583	1705	0.2616	0.6949	1.8889	0.0229	0.0138
4	Marion, Shawn	TOR	954.1667	1908	1915	2064	2110	108.1761	110.1828	-2.0067	277	236	667	647	0.2998	0.7386	2958.8333	5632	5639	5964	6154	105.8949	109.1328	-3.2379	691	817	2011	2053	0.2518	0.7111	1.2312	0.0480	0.0275
5	Nowitzki, Dirk	DAL	2976.6500	5738	5714	6409	6178	111.6940	108.1204	3.5736	760	765	2065	2042	0.2712	0.7297	888.3500	1657	1693	1735	1805	104.7073	106.6155	-1.9082	273	272	621	559	0.3281	0.6954	5.4818	-0.0569	0.0343
6	Terry, Jason	DAL	2427.8333	4665	4656	5190	5038	111.2540	108.2045	3.0496	637	659	1667	1646	0.2790	0.7167	1437.1667	2730	2751	2954	2945	108.2051	107.0520	1.1531	396	378	1019	955	0.2931	0.7294	1.8965	-0.0141	-0.0127
7	Bell, Raja	CHA	1570.0333	2943	2928	3118	3075	105.9463	105.0205	0.9258	428	388	1047	992	0.3014	0.7296	2367.9667	4321	4338	4465	4622	103.3326	106.5468	-3.2142	675	666	1458	1487	0.3122	0.6864	4.1400	-0.0108	0.0432
7	Bell, Raja	PHX	712.4333	1386	1379	1545	1509	111.4719	109.4271	2.0447	154	222	502	421	0.2678	0.6934	3238.5667	6541	6549	7429	7307	113.5759	111.5743	2.0016	903	989	2210	2090	0.3017	0.6908	0.0431	-0.0339	0.0026
8	Nash, Steve	PHX	2484.0833	5043	5032	5870	5628	116.3990	111.8442	4.5548	593	772	1777	1573	0.2738	0.6971	1466.9167	2884	2896	3104	3188	107.6283	110.0829	-2.4546	464	439	935	938	0.3310	0.6805	7.0094	-0.0572	0.0166
