PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
2	Thomas, Kurt	MIL	199.1833	352	351	391	391	111.0795	111.3960	-0.3165	62	71	120	132	0.3196	0.6283	136.8167	250	253	239	265	95.6000	104.7431	-9.1431	55	55	88	93	0.3716	0.6154	8.8266	-0.0520	0.0129
3	Dampier, Erick	DAL	118.4833	219	215	207	228	94.5205	106.0465	-11.5260	43	32	85	85	0.3359	0.7265	169.5167	315	316	350	332	111.1111	105.0633	6.0478	51	64	114	111	0.3148	0.6404	-17.5738	0.0211	0.0861
4	Marion, Shawn	DAL	148.2333	273	277	293	276	107.3260	99.6390	7.6870	49	51	108	97	0.3356	0.6792	139.7667	261	254	264	284	101.1494	111.8110	-10.6616	45	45	91	99	0.3125	0.6691	18.3486	0.0231	0.0101
5	Nowitzki, Dirk	DAL	233.1000	428	424	451	465	105.3738	109.6698	-4.2960	72	70	156	157	0.3144	0.6903	54.9000	106	107	106	95	100.0000	88.7850	11.2150	22	26	43	39	0.3607	0.6232	-15.5110	-0.0463	0.0671
6	Terry, Jason	DAL	173.6833	322	316	343	345	106.5217	109.1772	-2.6555	50	61	116	118	0.2976	0.6554	114.3167	212	215	214	215	100.9434	100.0000	0.9434	44	35	83	78	0.3607	0.7034	-3.5989	-0.0631	-0.0480
8	Nash, Steve	PHX	535.2167	1027	1025	1236	1168	120.3505	113.9512	6.3993	175	182	363	333	0.3445	0.6661	229.3500	413	425	467	460	113.0751	108.2353	4.8398	95	83	144	151	0.3862	0.6344	1.5595	-0.0417	0.0317
10	Jones, James	MIA	8.6167	15	16	22	16	146.6667	100.0000	46.6667	4	7	6	3	0.5714	0.4615	231.3833	437	436	416	463	95.1945	106.1927	-10.9982	69	59	147	162	0.2987	0.7136	57.6649	0.2727	-0.2521
12	Diaw, Boris	CHA	152.0667	276	276	265	313	96.0145	113.4058	-17.3913	49	55	101	99	0.3311	0.6474	39.9333	65	65	77	66	118.4615	101.5385	16.9231	14	9	23	20	0.4118	0.7188	-34.3144	-0.0807	-0.0714
14	Daniels, Marquis	BOS	37.2833	71	70	71	68	100.0000	97.1429	2.8571	13	8	25	25	0.3421	0.7576	1119.7167	2077	2078	2182	2119	105.0554	101.9731	3.0823	350	381	748	740	0.3211	0.6625	-0.2252	0.0210	0.0951
16	Barbosa, Leandro	PHX	249.6000	458	467	521	481	113.7555	102.9979	10.7576	100	94	162	173	0.3663	0.6328	514.9667	982	983	1182	1147	120.3666	116.6836	3.6830	170	171	345	311	0.3534	0.6686	7.0746	0.0129	-0.0358
21	Martin, Kenyon	DEN	205.0000	414	414	466	492	112.5604	118.8406	-6.2802	73	69	126	137	0.3476	0.6462	83.0000	167	162	190	171	113.7725	105.5556	8.2169	32	30	60	51	0.3855	0.6667	-14.4971	-0.0379	-0.0205
23	Camby, Marcus	POR	177.5333	322	321	345	382	107.1429	119.0031	-11.8603	60	64	105	122	0.3297	0.6213	110.4667	202	202	213	238	105.4455	117.8218	-12.3762	43	41	65	74	0.3675	0.6132	0.5159	-0.0378	0.0081
24	Ginobili, Manu	SAS	352.4667	668	668	715	737	107.0359	110.3293	-3.2934	122	119	238	241	0.3361	0.6667	127.5333	243	242	246	258	101.2346	106.6116	-5.3770	37	35	90	95	0.2803	0.7200	2.0836	0.0558	-0.0533
25	Anthony, Carmelo	DEN	253.5667	509	506	576	563	113.1631	111.2648	1.8982	97	83	168	164	0.3716	0.6693	34.4333	72	70	80	100	111.1111	142.8571	-31.7460	8	16	18	24	0.2500	0.5294	33.6442	0.1216	0.1399
26	Duncan, Tim	SAS	372.6000	701	696	765	763	109.1298	109.6264	-0.4966	112	113	262	255	0.3052	0.6987	107.4000	210	214	196	232	93.3333	108.4112	-15.0779	47	41	66	81	0.3672	0.6168	14.5813	-0.0620	0.0819
29	Finley, Michael	BOS	107.5333	206	196	197	177	95.6311	90.3061	5.3249	24	36	70	79	0.2330	0.6604	1049.4667	1942	1952	2056	2010	105.8702	102.9713	2.8989	339	353	703	686	0.3307	0.6657	2.4260	-0.0977	-0.0053
30	Parker, Tony	SAS	335.2167	634	632	720	714	113.5647	112.9747	0.5900	115	111	221	228	0.3353	0.6657	144.7833	277	278	241	281	87.0036	101.0791	-14.0755	44	43	107	108	0.2895	0.7133	14.6655	0.0458	-0.0476
31	Miller, Andre	POR	210.3500	382	378	416	458	108.9005	121.1640	-12.2635	69	71	119	139	0.3317	0.6263	77.6500	142	145	142	162	100.0000	111.7241	-11.7241	34	34	51	57	0.3736	0.6000	-0.5394	-0.0419	0.0263
34	Hilario, Nene	DEN	168.9667	342	336	389	385	113.7427	114.5833	-0.8406	60	43	113	107	0.3593	0.7244	119.0333	239	240	267	278	111.7155	115.8333	-4.1179	45	56	73	81	0.3571	0.5659	3.2773	0.0022	0.1585
36	Najera, Eduardo	DAL	36.0833	70	69	57	68	81.4286	98.5507	-17.1222	15	19	24	32	0.3191	0.5581	251.9167	464	462	500	492	107.7586	106.4935	1.2651	79	77	175	164	0.3251	0.6944	-18.3873	-0.0060	-0.1363
40	Mohammed, Nazr	CHA	47.7833	84	81	96	106	114.2857	130.8642	-16.5785	17	13	26	25	0.4048	0.6667	144.2167	257	260	246	273	95.7198	105.0000	-9.2802	46	51	98	94	0.3286	0.6577	-7.2983	0.0762	0.0090
