#data from espn rpi 
RK	TEAM	RPI	D1 W-L	SOS	NCRP	NCSS	CFRP	CFSS	1-25	26-50	51-100	L12	LRPI	OFFQ	DEFQ	ASM
1	Kentucky	.6702	33-0	57	6	21	4	109	5-0	5-0	11-0	12-0	2	9.0	14.4	23.4
2	Kansas	.6632	26-8	1	8	2	7	9	9-5	3-2	6-1	7-5	5	8.0	4.2	12.2
3	Villanova	.6612	32-2	52	2	71	3	73	5-1	8-0	5-1	12-0	6	9.9	7.3	17.2
4	Wisconsin	.6610	30-3	18	12	11	5	72	3-2	5-0	10-0	11-1	8	6.2	12.9	19.1
5	Duke	.6590	29-4	9	1	39	2	19	7-2	4-1	6-1	11-1	1	15.1	3.5	18.6
6	Arizona	.6563	31-3	38	3	93	1	56	3-0	6-0	9-0	11-1	7	10.1	9.6	19.7
7	Virginia	.6532	29-3	26	9	40	6	61	5-3	3-0	6-0	10-2	3	-0.3	17.4	17.1
8	Gonzaga	.6349	31-2	84	19	20	20	143	1-1	5-1	3-0	11-1	9	11.3	6.9	18.3
9	Iowa State	.6290	25-8	13	7	104	10	7	7-5	6-0	3-2	9-3	11	13.6	-1.2	12.5
10	Baylor	.6259	23-9	3	10	19	14	6	6-4	2-3	4-2	8-4	13	4.5	8.7	13.2
11	Maryland	.6236	27-6	49	23	83	9	64	4-2	1-2	5-2	9-3	10	3.7	5.6	9.3
12	North Carolina	.6234	24-11	2	15	5	22	2	3-7	4-3	4-1	7-5	16	14.2	1.1	15.2
13	SMU	.6187	25-6	40	51	7	21	104	0-2	5-2	7-2	10-2	20	5.2	6.2	11.4
14	Northern Iowa	.6152	30-3	145	24	127	27	165	1-2	2-0	5-0	11-1	22	1.1	10.2	11.3
15	Notre Dame	.6121	29-5	95	4	325	8	26	6-3	1-0	4-2	9-3	4	12.6	1.7	14.3
16	Virginia Commonwealth	.6120	25-9	11	40	1	63	112	1-2	4-3	8-3	7-5	28	8.0	2.2	10.2
17	Arkansas	.6101	26-7	65	22	38	32	94	1-2	3-0	8-4	10-2	18	12.7	-2.0	10.7
18	Wichita St	.6099	27-4	119	68	61	17	160	1-2	1-0	5-2	10-2	38	5.1	8.2	13.3
19	Oklahoma	.6098	22-10	16	20	136	11	8	4-6	8-0	0-2	9-3	15	6.5	6.1	12.7
20	Utah	.6083	23-8	34	34	50	19	69	1-3	2-4	4-0	8-4	14	4.6	12.3	16.8
21	Louisville	.6069	24-8	23	14	140	13	12	2-6	1-1	6-1	7-5	19	3.7	9.4	13.1
22	Michigan St	.6050	23-10	12	29	42	16	20	1-6	3-0	6-2	9-3	12	7.0	5.3	12.3
23	Providence	.6035	22-11	5	26	18	29	21	3-4	3-4	6-0	6-6	17	4.7	3.5	8.2
24	West Virginia	.6024	23-9	39	11	202	18	13	2-7	5-1	3-1	6-6	43	8.7	1.3	10.0
25	Georgetown	.5998	21-10	10	63	10	24	53	1-5	3-5	4-0	7-5	24	4.7	5.2	9.9
26	San Diego St	.5946	25-8	79	44	102	28	85	1-1	3-4	3-1	9-3	29	-2.4	12.5	10.0
27 	Oregon	.5946	24-9	47	46	152	12	49	2-4	1-1	6-2	10-2	21	8.0	-1.4	6.6
28	Dayton	.5935	25-7	125	35	155	40	138	1-1	0-1	6-4	9-3	31	2.1	6.2	8.3
29	Colorado St	.5928	26-6	118	32	77	61	152	0-0	2-3	3-2	9-3	56	7.7	0.7	8.4
30	Buffalo	.5926	23-9	66	28	48	59	103	0-2	0-0	4-3	9-3	44	8.7	-0.5	8.2
31	Xavier	.5910	21-13	8	17	44	47	17	4-4	4-3	3-2	7-5	46	7.9	1.4	9.3
32	Butler	.5902	22-10	43	37	153	23	38	3-6	3-2	2-2	8-4	25	2.3	8.2	10.5
33	Davidson	.5871	23-7	123	49	247	26	106	1-4	1-0	7-1	10-2	32	12.9	-2.2	10.7
34	Temple	.5855	23-10	60	71	47	34	83	1-5	1-3	6-0	9-3	39	0.6	5.2	5.8
35	Stephen F. Austin	.5846	26-4	194	79	179	35	211	0-2	0-1	4-0	11-1	57	8.3	3.7	12.0
36	Georgia	.5818	21-11	31	36	100	39	44	0-5	0-0	9-4	7-5	35	3.3	4.2	7.5
37	St Johns	.5812	20-11	30	33	85	43	41	3-6	2-2	4-1	8-4	34	3.9	2.4	6.3
38	BYU	.5796	23-9	75	81	33	49	127	1-3	0-1	3-2	10-2	48	16.1	-5.3	10.8
39	Ohio State	.5795	23-10	73	27	228	30	47	1-5	0-2	7-3	7-5	30	10.0	5.7	15.7
40	Cincinnati	.5788	22-10	54	119	28	36	97	2-1	4-2	2-4	7-5	49	-1.4	10.3	8.9
41	NC State	.5786	20-13	6	66	30	33	15	3-6	1-2	6-2	7-5	36	5.8	3.3	9.1
42	Texas	.5773	20-13	15	16	82	60	16	2-10	1-2	5-1	6-6	23	3.0	8.0	11.0
43	Iowa	.5769	21-11	28	83	78	25	36	2-5	2-1	5-3	8-4	26	4.6	6.3	10.9
44	Boise State	.5761	23-8	132	77	175	41	140	0-1	3-2	1-2	10-2	50	5.3	3.7	9.0
45	Old Dominion	.5740	24-7	147	84	43	82	248	1-0	0-0	5-2	9-3	73	-2.0	10.4	8.5
46	Oklahoma St	.5710	17-13	17	18	170	52	5	3-9	3-0	2-2	5-7	52	2.2	4.9	7.1
47	Tulsa	.5707	22-9	104	115	151	37	120	0-4	2-2	3-2	7-5	69	-0.8	6.3	5.6
48	Wofford	.5694	26-6	238	125	26	102	315	0-2	1-0	2-2	11-1	74	-4.3	9.1	4.8
49	UCLA	.5691	20-13	29	97	59	31	58	1-7	1-1	3-2	8-4	33	6.0	1.1	7.1
50	Valparaiso	.5672	25-5	277	72	285	53	247	0-0	0-0	3-1	10-2	85	-0.0	6.9	6.8
51	Iona	.5671	26-8	221	124	109	58	257	0-1	0-1	0-1	10-2	99	12.7	-7.1	5.6
52	Purdue	.5662	21-12	67	92	219	15	31	0-5	4-1	5-3	8-4	37	3.9	4.3	8.1
53	LSU	.5661	22-10	97	43	182	57	84	2-1	1-1	9-3	6-6	54	8.0	-1.2	6.8
54	Harvard	.5661	20-7	144	87	128	68	174	0-1	0-0	4-1	10-2	65	-1.7	6.8	5.1
55	Ole Miss	.5657	20-12	46	82	76	44	63	1-2	2-3	6-3	7-5	55	7.3	0.4	7.7
56	Indiana	.5650	20-13	22	47	97	50	22	2-7	2-2	4-3	5-7	27	12.0	-3.2	8.8
57	Green Bay	.5644	22-8	164	109	62	92	251	0-1	1-2	2-2	8-4	62	0.4	6.1	6.5
58	Richmond	.5636	19-13	32	140	32	38	75	2-2	1-4	4-4	8-4	41	-0.5	7.2	6.8
59 	Louisiana Tech	.5636	24-8	219	128	226	42	208	0-0	0-3	2-1	9-3	61	5.5	1.3	6.7
60	Stanford	.5635	19-13	50	39	87	76	65	0-5	2-4	3-0	4-8	51	5.7	1.5	7.2
61	Georgia St	.5603	22-9	167	105	64	89	229	0-1	0-2	1-1	10-2	90	4.3	3.5	7.8
62	Yale	.5602	20-10	116	121	95	64	156	0-1	0-0	3-3	8-4	94	1.1	3.9	4.9
63	Miami (FL)	.5601	21-12	77	50	207	51	62	1-7	1-0	4-1	7-5	58	2.8	4.7	7.5
64	Rhode Island	.5598	21-9	141	91	258	48	131	0-3	0-3	6-1	8-4	78	-0.1	6.4	6.3
65	Murray St	.5595	25-5	253	175	218	45	287	0-0	0-2	1-0	11-1	71	10.5	-2.1	8.4
66	Illinois St	.5589	20-12	63	88	55	69	81	1-6	1-0	0-2	8-4	59	4.1	2.5	6.5
67	Connecticut	.5580	20-13	74	70	99	71	78	1-3	5-5	1-4	8-4	66	0.8	5.8	6.5
68	Syracuse	.5579	18-13	37	58	81	65	51	2-5	1-2	1-5	4-8	45	2.1	4.8	6.8
69	Texas A&M	.5574	20-11	96	89	147	62	101	0-3	0-2	6-5	6-6	76	1.1	5.4	6.5
70	Florida	.5569	16-17	4	74	27	66	4	1-6	0-1	7-7	4-8	60	-1.0	8.9	7.8
71	Saint Mary's	.5567	20-9	105	138	75	55	139	0-2	1-3	2-0	6-6	79	2.7	4.0	6.7
72	Illinois	.5562	19-13	70	52	157	70	68	3-3	0-3	2-6	6-6	42	3.9	4.3	8.1
73	Wyoming	.5537	23-9	182	31	319	85	130	0-1	5-2	0-1	7-5	70	-3.3	7.4	4.0
74	Pittsburgh	.5535	18-14	42	41	113	83	45	2-4	0-3	3-2	6-6	68	1.1	3.0	4.0
75	Central Michigan	.5532	20-8	206	60	242	74	154	0-0	2-1	3-1	8-4	77	6.4	0.2	6.6
76	UC Davis	.5518	23-6	321	122	329	46	266	0-0	0-0	3-1	10-2	112	3.4	-0.6	2.8
77	Toledo	.5505	20-13	83	103	70	105	129	0-2	1-1	0-5	7-5	75	7.6	-2.4	5.2
78	Eastern Washington	.5504	23-8	235	117	67	132	285	0-1	0-0	1-2	9-3	83	9.4	-5.6	3.9
79	UTEP	.5497	22-10	135	157	37	91	223	0-1	2-1	1-2	9-3	102	2.2	4.1	6.3
80	Massachusetts	.5489	17-15	36	149	4	109	124	0-3	1-2	5-6	6-6	93	3.8	-2.6	1.2
81	Michigan	.5482	15-16	7	118	15	73	27	0-8	2-2	4-3	4-8	40	-1.3	5.6	4.3
82	George Washington	.5443	21-12	168	45	306	93	110	1-3	1-2	2-5	5-7	81	-0.2	5.8	5.6
83	Sam Houston St	.5442	21-8	217	181	89	80	262	0-0	0-4	1-2	9-3	110	-0.7	7.8	7.1
84	Alabama	.5434	17-14	56	53	142	95	59	0-5	1-2	4-5	5-7	47	1.2	3.7	4.9
85	Northeastern	.5412	23-11	202	106	174	134	221	0-0	0-0	3-4	9-3	104	1.2	1.5	2.7
86 	Memphis	.5412	18-14	33	143	23	87	77	0-5	1-7	2-0	5-7	63	4.0	2.4	6.4
87	High Point	.5400	19-9	208	126	135	125	240	0-0	0-1	1-1	8-4	134	2.4	-1.1	1.3
88	UC Santa Barbara	.5394	17-13	92	209	8	99	204	0-2	0-2	2-3	9-3	101	1.5	2.0	3.5
89	South Carolina	.5384	16-16	35	42	141	139	37	1-5	3-1	3-6	6-6	92	-0.7	6.0	5.3
90	UC Irvine	.5381	19-12	158	136	118	106	193	0-1	0-1	3-4	8-4	121	0.1	3.0	3.0
91	Kent State	.5379	20-11	153	104	235	54	98	0-1	0-2	4-2	6-6	100	-1.5	4.2	2.7
92	California	.5373	18-15	62	57	154	131	60	0-5	1-3	3-2	6-6	89	0.1	1.5	1.6
93	Seton Hall	.5370	16-15	72	21	204	142	54	1-6	2-5	2-0	3-9	96	2.5	-0.1	2.5
94	South Dakota St	.5369	21-10	248	146	197	88	255	0-2	0-1	1-2	9-3	126	4.1	1.7	5.8
95	William & Mary	.5362	18-12	136	142	49	119	176	0-1	1-1	1-5	7-5	117	5.3	-1.0	4.3
96	Kansas St	.5361	15-17	20	100	161	56	3	5-6	1-4	2-2	3-9	72	-1.9	4.7	2.8
97	La Salle	.5357	17-16	55	116	36	144	87	1-2	1-4	3-4	5-7	120	-1.6	4.8	3.2
98	Tennessee	.5354	16-16	45	65	125	111	48	1-5	1-2	3-6	3-9	87	-2.4	4.2	1.9
99	North Dakota St	.5348	21-9	286	129	312	75	237	0-0	0-2	2-2	10-2	138	-4.5	5.0	0.5
100	Minnesota	.5344	17-15	68	30	221	138	42	1-4	2-4	2-3	5-7	53	8.0	-0.5	7.5
101	Vanderbilt	.5336	18-13	115	78	267	96	79	0-3	0-2	9-5	8-4	86	4.1	2.2	6.3
102	Arizona St	.5331	17-15	64	113	189	67	39	1-4	1-2	4-3	7-5	80	3.9	1.2	5.1
103	Clemson	.5324	16-15	61	90	198	77	35	1-6	1-1	4-2	5-7	67	-4.1	6.8	2.7
104	UNLV	.5313	17-15	69	123	3	197	147	1-2	1-6	2-2	6-6	103	3.5	0.5	4.1
105	Belmont	.5310	21-10	263	171	187	162	322	0-1	0-1	1-1	9-3	125	6.0	-3.7	2.3
106	Penn State	.5300	18-16	86	13	307	186	29	0-5	1-3	3-5	4-8	108	1.6	1.5	3.0
107	New Mexico St	.5296	21-10	230	283	35	110	334	0-2	0-1	2-3	12-0	114	2.7	3.8	6.5
108	Albany	.5293	24-8	313	204	213	94	321	0-1	0-0	1-0	11-1	119	-0.5	3.3	2.9
109	Stony Brook	.5292	21-11	255	166	90	155	310	0-1	0-2	0-0	9-3	122	-0.2	3.2	3.1
110	Bowling Green	.5283	20-10	244	48	294	84	115	0-0	0-3	2-2	7-5	98	-0.9	5.2	4.3
111	Florida St	.5275	17-16	71	99	232	78	33	0-7	0-1	3-5	6-6	82	1.3	0.5	1.8
112	Long Beach St	.5270	14-17	76	234	12	126	163	0-1	1-7	3-5	6-6	116	-0.4	-0.2	-0.6
113	Georgia Southern	.5269	19-8	299	86	346	118	230	0-0	0-0	1-2	8-4	153	-1.1	3.9	2.8
114	Colorado	.5261	15-17	41	94	107	130	52	0-4	1-5	1-3	4-8	95	1.8	1.5	3.3
115	St. Bonaventure	.5258	18-13	142	111	310	86	95	1-0	2-3	1-7	7-5	146	0.9	1.7	2.6
116	Chattanooga	.5256	20-10	241	276	74	104	302	0-1	1-3	0-0	9-3	159	1.2	-0.1	1.1
117	Evansville	.5253	18-12	134	93	190	147	134	1-3	0-0	0-5	5-7	106	3.1	-0.5	2.5
118	Western Kentucky	.5249	18-12	161	198	57	117	231	0-1	1-1	2-3	6-6	129	3.0	-1.5	1.5
119	Western Michigan	.5246	18-13	176	102	224	133	141	0-0	1-1	3-3	7-5	152	3.4	-2.4	0.9
120	Akron	.5240	20-14	127	67	231	103	71	0-0	1-2	4-5	5-7	84	-0.4	4.3	3.9
121	Loyola (Chi)	.5232	17-13	129	61	254	160	116	0-6	1-0	1-2	6-6	105	-2.6	4.0	1.4
122	Washington	.5225	16-15	87	25	236	185	67	2-2	2-2	2-5	2-10	144	2.3	-0.6	1.8
123	Northwestern	.5223	15-17	44	69	200	115	18	0-6	1-3	3-6	5-7	88	-2.4	4.3	1.9
124	Lafayette	.5220	19-12	192	73	126	207	225	0-2	0-0	0-1	8-4	132	6.4	-6.7	-0.2
125	Texas Southern	.5218	22-12	303	266	9	189	348	1-3	0-0	1-4	11-1	140	0.1	-2.1	-2.0
126	Auburn	.5205	14-20	21	64	54	193	46	0-3	2-2	4-8	4-8	115	3.1	-4.7	-1.6
127	Coastal Carolina	.5203	20-9	317	107	283	171	295	0-0	0-1	2-1	9-3	151	-0.2	2.8	2.6
128	North Carolina Central	.5201	22-7	349	262	163	137	350	0-2	0-1	0-1	10-2	127	-3.9	8.8	4.9
129	TCU	.5193	18-15	111	5	349	151	10	0-11	1-3	3-1	4-8	64	1.6	4.8	6.4
130	Cleveland St	.5170	16-14	139	230	96	90	173	0-3	0-3	2-2	7-5	131	-2.6	5.3	2.8
131	Oregon St	.5164	16-14	124	76	332	114	66	1-2	1-4	1-2	3-9	109	-8.3	9.8	1.5
132	UAB	.5161	18-15	109	225	58	72	153	0-2	1-1	2-5	8-4	113	2.1	-0.4	1.7
133	UL Monroe	.5159	17-12	184	237	116	124	213	0-0	0-0	0-3	8-4	167	-7.0	7.5	0.5
