Compound	SERT	NET	DAT	H1	mACh	α1	α2	5-HT1A	5-HT2A	5-HT2C	D2	MT1A	MT1B
Amoxapine	58	16	4310	25	1000	50	2600	?	0.5	2	20.8	?	?
Clomipramine	0.21	45.9	2605	31.2	37	39	525	>10000	35.5	64.6	119.8	?	?
Doxepin	68	29.5	12100	0.24	83.3	23.5	1270	276	26	8.8	360	?	?
Buspirone	?	?	?	?	?	138	?	5.7	138	174	362	?	?
Femoxetine	11	760	2050	4200	184	650	1970	2285	130	1905	590	?	?
Maprotiline	5800	11.1	1000	1.7	560	91	9400	?	51	122	665	?	?
Imipramine	1.4	37	8300	37	46	32	3100	>10000	119	120	726	?	?
Nefazodone	400	490	360	24000	11000	48	640	80	8.6	72	910	?	?
Amitriptyline	3.13	22.4	5380	1.1	18	24	690	450	4.3	6.15	1460	?	?
Desipramine	17.6	0.83	3190	110	196	100	5500	>10000	113.5	496	1561	?	?
Lofepramine	70	5.4	18000	360	67	100	2700	4600	200	?	2000	?	?
Mianserin	4000	71	9400	1.0	500	74	31.5	1495	3.21	2.59	2052	?	?
Etoperidone	890	20000	52000	3100	>35000	38	570	85	36	36	2300	?	?
Nortriptyline	16.5	4.37	3100	15.1	37	55	2030	294	5	8.5	2570	?	?
Trazodone	367	>10000	>10000	220	>35000	42	320	118	35.8	224	4142	?	?
Mirtazapine	>10000	4600	>10000	0.14	794	608	20	18	69	39	5454	?	?
Duloxetine	0.8	5.9	278	2300	3000	8300	8600	5000	504	916	>10000	?	?
Nomifensine	2941	22.3	41.1	2700	>10000	1200	6744	1183	937	>10000	>10000	?	?
Reboxetine	274	13.4	11500	312	6700	11900	>10000	>10000	>10000	457	>10000	?	?
Fluvoxamine	1.95	1892	>10000	>10000	240000	1288	1900	>10000	>10000	6700	>10000	?	?
Sertraline	0.21	667	25.5	24000	625	370	4100	>35000	1000	1000	10700	?	?
Fluoxetine	1.0	660	4176	6250	2000	5900	13900	32400	197	255	12000	?	?
Paroxetine	0.08	56.7	574	22000	108	4600	>10000	>35000	>10000	19000	32000	?	?
Atomoxetine	43	3.5	1270	5500	2060	3800	8800	10900	1000	940	>35000	?	?
Bupropion	9100	52600	526	6700	40000	4550	>35000	>35000	>10000	>35000	>35000	?	?
Venlafaxine	7.7	535	8474	>35000	>35000	>35000	>35000	>35000	>35000	>10000	>35000	?	?
Protriptyline	19.6	1.41	2100	60	25	130	6600	?	26	?	?	?	?
Dosulepin	8.6	46	5310	4	26	419	12	4004	152	?	?	?	?
Nisoxetine	610	5.1	382	?	5000	?	?	?	620	?	?	?	?
Citalopram	1.38	5100	28000	380	1800	1550	>10000	>10000	>10000	617	?	?	?
Agomelatine	?	?	?	?	?	?	?	?	?	631	?	0.1	0.12
Escitalopram	1.8	7180	>10000	1970	1240	3870	?	?	?	2531	?	?	?
Vilazodone	0.1	?	?	?	?	?	?	2.3	?	?	?	?	?
Vortioxetine	1.6	113	>1000	?	?	?	?	15 (Agonist)	?	?	?	?	?
Trimipramine	149	2450	3780	1.4	58	24	680	?	?	?	?	?	?
Mazindol	100	1.2	19.7	600	?	?	?	?	?	?	?	?	?
Butriptyline	1360	5100	3940	?	?	?	?	?	?	?	?	?	?
Oxaprotiline	3900	4.9	4340	?	?	?	?	?	?	?	?	?	?
Milnacipran	94.1	111	>10000	?	?	?	?	?	?	?	?	?	?
Zimelidine	152	9400	11700	?	?	?	?	?	?	?	?	?	?
Viloxazine	17300	155	>100000	?	?	?	?	?	?	?	?	?	?
